AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,1,3102870,,5097255,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201712,December 2017,HS,,,0,,World,,,,,,1,Imports,,36,Australia,2017
,,,,1,1004410,,598697,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201307,July 2013,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2013
,,,,1,3288210,,4409391,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201306,June 2013,HS,,,842,,United States of America,,,,,,2,Exports,,36,Australia,2013
,,,,1,1339740,,1078894,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201710,October 2017,HS,,,784,,United Arab Emirates,,,,,,2,Exports,,36,Australia,2017
,,,,1,4584060,,5307350,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201710,October 2017,HS,,,392,,Japan,,,,,,2,Exports,,36,Australia,2017
,,,,1,23956,,19399,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201307,July 2013,HS,,,634,,Qatar,,,,,,2,Exports,,36,Australia,2013
,,,,1,33838373,,33998391,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,0,,World,,,,,,2,Exports,,36,Australia,2016
,,,,1,452210,,376418,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,48,,Bahrain,,,,,,2,Exports,,36,Australia,2016
,,,,1,244440,,161353,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,50,,Bangladesh,,,,,,2,Exports,,36,Australia,2016
,,,,1,2954,,3268,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,90,,Solomon Isds,,,,,,2,Exports,,36,Australia,2016
,,,,1,31752,,31500,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,104,,Myanmar,,,,,,2,Exports,,36,Australia,2016
,,,,1,962212,,971582,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,124,,Canada,,,,,,2,Exports,,36,Australia,2016
,,,,1,160800,,111854,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,144,,Sri Lanka,,,,,,2,Exports,,36,Australia,2016
,,,,1,6870870,,9084692,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,156,,China,,,,,,2,Exports,,36,Australia,2016
,,,,1,147794,,121112,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,242,,Fiji,,,,,,2,Exports,,36,Australia,2016
,,,,1,81141,,71619,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,258,,French Polynesia,,,,,,2,Exports,,36,Australia,2016
,,,,1,720,,848,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,296,,Kiribati,,,,,,2,Exports,,36,Australia,2016
,,,,1,35819,,31961,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,316,,Guam,,,,,,2,Exports,,36,Australia,2016
,,,,1,7128476,,5241440,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,344,,"China, Hong Kong SAR",,,,,,2,Exports,,36,Australia,2016
,,,,1,1933623,,1985018,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,360,,Indonesia,,,,,,2,Exports,,36,Australia,2016
,,,,1,5924432,,6370340,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,392,,Japan,,,,,,2,Exports,,36,Australia,2016
,,,,1,118440,,127714,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,414,,Kuwait,,,,,,2,Exports,,36,Australia,2016
,,,,1,2616197,,2450352,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,458,,Malaysia,,,,,,2,Exports,,36,Australia,2016
,,,,1,162486,,182972,6,080510,"Fruit, edible; oranges, fresh or dried",,,0,,,201609,September 2016,HS,,,490,,"Other Asia, nes",,,,,,2,Exports,,36,Australia,2016
