Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
071110,1996,Onions,071190
071151,2002,Mushrooms of the genus Agaricus,071190
071151,2007,"Mushrooms of the genus Agaricus, provisionally preserved",071190
071159,2002,Other,071190
071159,2007,"Mushrooms other than of the genus Agaricus, provisionally preserved",071190
071231,2002,Mushrooms of the genus Agaricus,071230
071231,2007,"Mushrooms of the genus Agaricus, dried, whole/cut/sliced/broken/in powder but not further prepared",071230
071232,2002,Wood ears (Auricularia spp.),071230
071232,2007,"Wood ears (Auricularia spp.), dried, whole/cut/sliced/broken/in powder but not further prepared",071230
071233,2002,Jelly fungi (Tremella spp.),071230
071233,2007,"Jelly fungi (Tremella spp.), dried, whole/cut/sliced/broken/in powder but not further prepared",071230
071239,2002,Other,071230
071239,2007,"Mushrooms (excl. of 0712.31-0712.33) & truffles, dried, whole/cut/sliced/broken/in powder but not further prepared",071230
080260,2007,Macadamia nuts,080290
080530,1996,"Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia)",080550
080590,1996,Other,080550
080590,2002,Other,080550
080590,2007,"Citrus fruit (excl. of 0805.10-0805.50), fresh/dried",080550
081090,1996,Other,081060
081090,2002,Other,081060
081090,2007,"Fresh fruit, n.e.s. in Ch. 8",081060
081220,1996,Strawberries,081290
090611,2007,"Cinnamon(Cinnamomum zeylanicum Blume) & cinnamon-tree flowers, neither crushed/ground",090610
090619,2007,"Cinnamon(excl. of  0906.11) & cinnamon-tree flowers, neither crushed/ground",090610
091099,1996,Other spices :-- Other,091040
091099,2002,Other,091040
091099,2007,"Spices, n.e.s. in Ch. 9",091040
091091,1996,Other spices :-- Mixtures referred to in Note 1 (b) to this Chapter,091050
091091,2002,Mixtures referred to in Note 1 (b) to this Chapter,091050
091091,2007,Mixtures of 2/more products of different headings of 09.04-09.10,091050
110290,1996,Other,110230
110290,2002,Other,110230
110290,2007,Cereal flour other than of wheat/meslin/rye/maize(corn),110230
110312,1996,Groats and meal :-- Of oats,110319
110314,1996,Groats and meal :-- Of rice,110319
110321,1996,Pellets :-- Of wheat,110320
110329,1996,Pellets :-- Of other cereals,110320
110411,1996,Rolled or flaked grains :-- Of barley,110419
110421,1996,"Other worked grains (for example, hulled, pearled, sliced or kibbled) :-- Of barley",110429
120510,2002,Low erucic acid rape or colza seeds,120500
120510,2007,"Low erucic acid rape/colza seeds, whether/not broken",120500
120590,2002,Other,120500
120590,2007,"Rape/colza seeds (excl. low erucic acid), whether/not broken",120500
120710,1996,Palm nuts and kernels,120799
120710,2002,Palm nuts and kernels,120799
120730,1996,Castor oil seeds,120799
120730,2002,Castor oil seeds,120799
120760,1996,Safflower seeds,120799
120760,2002,Safflower seeds,120799
120792,1996,Other :-- Shea nuts (karite nuts),120799
120911,1996,Beet seed :-- Sugar beet seed,120910
120991,1996,Other :-- Vegetable seeds,120919
120991,2002,Vegetable seeds,120919
120991,2007,"Vegetable seeds, of a kind used for sowing",120919
120929,1996,"Seeds of forage plants, other than beet seed :-- Other",120926
120929,2002,Other,120926
120929,2007,"Seeds of forage plants (excl. of 1209.21-1209.25), of a kind used for sowing",120926
121130,2002,Coca leaf,121190
121130,2007,Coca leaf,121190
121140,2002,Poppy straw,121190
121140,2007,Poppy straw,121190
121210,1996,"Locust beans, including locust bean seeds",121299
121210,2002,"Locust beans, including locust bean seeds",121299
121230,1996,"Apricot, peach or plum stones and kernels",121299
121230,2002,"Apricot, peach (including nectarine) or plum stones and kernels",121299
121292,1996,Other :-- Sugar cane,121299
130190,1996,Other,130110
130190,2002,Other,130110
130190,2007,"Lac; Natural gums (excl. of 1301.20), resins, gum-resins & oleoresins (e.g., balsams)",130110
130219,1996,Vegetable saps and extracts :-- Other,130214
130219,2002,Other,130214
130219,2007,Vegetable saps & extracts (excl. of 1302.11-1302.13),130214
140200,2002,"Vegetable materials of a kind used primarily as stuffing or as padding (for example, kapok, vegetable hair and eelgrass), whether or not put up as a layer with or without supporting material.",140490
140210,1996,Kapok,140490
140290,1996,Other,140490
