Original HS Code,Original HS Classification,Description in Original Classification,Consolidated HS code
300450,2007,"Medicaments containing vitamins/other products of 29.36 (excl. of 3004.10-3004.40), put up in measured doses/forms/packings for RS",300680
300490,1996,Other,300680
300490,2002,Other,300680
300490,2007,"Medicaments (excluding goods of heading 30.02/30.05/30.06/3004.10-3004.50) consisting of mixed/unmixed products for therapeutic/prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems)/in f",300680
300510,1996,Adhesive dressings and other articles having an adhesive layer,300680
300510,2002,Adhesive dressings and other articles having an adhesive layer,
300510,2007,Adhesive dressings & other articles having an adhesive layer,
300590,1996,Other,
300590,2002,Other,
300590,2007,"Wadding, gauze, bandages & similar articles (eg. dressings, adhesive plasters, poultices), impregnated/coated with pharmaceutical substances/put up in forms/packings for retail sale for medical, surgical, dental/veterinary purposes(excl. of 300",
300610,1996,"Sterile surgical catgut, similar sterile suture materials and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics",
300610,2002,"Sterile surgical catgut, similar sterile suture materials and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics",
300610,2007,"Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical/dental yarns)&sterile tissue adhesives for surgical wound closure; sterile laminaria&sterile laminaria tents; sterile absorbable surgical/dental/ve",
300620,1996,Blood-grouping reagents,
300620,2002,Bloodgrouping reagents,
300620,2007,Blood-grouping reagents,
300630,1996,Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,
300630,2002,Opacifying preparations for Xray examinations; diagnostic reagents designed to be administered to the patient,
300630,2007,Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient,
300640,1996,Dental cements and other dental fillings; bone reconstruction cements,
300640,2002,Dental cements and other dental fillings; bone reconstruction cements,
300640,2007,Dental cements & other dental fillings; bone reconstruction cements,
300650,1996,First-aid boxes and kits,
300650,2002,Firstaid boxes and kits,
300650,2007,First-aid boxes & kits,
300660,1996,Chemical contraceptive preparations based on hormones or spermicides,
300660,2002,"Chemical contraceptive preparations based on hormones, on other products of heading 29.37 or on spermicides",
300660,2007,Chemical contraceptive preparations based on hormones/other products of 29.37/spermicides,
310290,1996,"Other, including mixtures not specified in the foregoing subheadings",310270
310290,2002,"Other, including mixtures not specified in the foregoing subheadings",310270
310290,2007,"Mineral/chemical fertilisers, nitrogenous (excl. of 3102.10-3102.80), including mixtures not specified in the foregoing subheadings",310270
310390,1996,Other,310320
310390,2002,Other,310320
310390,2007,"Mineral/chemical fertilisers, phosphatic(excl. of 3103.10)",310320
310490,1996,Other,310410
310490,2002,Other,310410
310490,2007,"Mineral/chemical fertilisers, potassic(excl. of 3104.20 & 3104.30)",310410
320630,1996,Pigments and preparations based on cadmium compounds,320649
320630,2002,Pigments and preparations based on cadmium compounds,320649
320643,1996,Other colouring matter and other preparations :-- Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides),320649
320643,2002,Pigments and preparations based on hexacyanoferrates (ferrocyanides and ferricyanides),320649
330111,1996,Essential oils of citrus fruit :-- Of bergamot,330119
330111,2002,Of bergamot,330119
330114,1996,Essential oils of citrus fruit :-- Of lime,330119
330114,2002,Of lime,330119
330121,1996,Essential oils other than those of citrus fruit :-- Of geranium,330129
330121,2002,Of geranium,330129
330122,1996,Essential oils other than those of citrus fruit :-- Of jasmin,330129
330122,2002,Of jasmin,330129
330123,1996,Essential oils other than those of citrus fruit :-- Of lavender or of lavandin,330129
330123,2002,Of lavender or of lavandin,330129
330126,1996,Essential oils other than those of citrus fruit :-- Of vetiver,330129
330126,2002,Of vetiver,330129
340220,1996,Preparations put up for retail sale,340130
340220,2002,Preparations put up for retail sale,340130
340220,2007,"Surface-active preparations, washing preparations (incl. auxiliary washing preparations) & cleaning preparations, whether/not containing soap (excl. of 34.01/3402.11-3402.9), put up for RS",340130
340490,1996,Other,340410
340490,2002,Other,340410
340490,2007,Artificial waxes & prepared waxes (excl. of  3404.20),340410
370231,1996,"Other film, without perforations, of a width not exceeding 105 mm :-- For colour photography (polychrome)",370220
370231,2002,For colour photography (polychrome),370220
370231,2007,"Photographic film in rolls ( excl. film for X-ray),  without perforations, of a width not > 105 mm,for colour photography (polychrome)",370220
370232,1996,"Other film, without perforations, of a width not exceeding 105 mm :-- Other, with silver halide emulsion",370220
370232,2002,"Other, with silver halide emulsion",370220
370232,2007,"Photographic film in rolls ( excl. film for X-ray),  without perforations, of a width not >105 mm, with silver halide emulsion",370220
370239,1996,"Other film, without perforations, of a width not exceeding 105 mm :-- Other",370220
370239,2002,Other,370220
370239,2007,"Photographic film in rolls ( excl. film for X-ray),  without perforations, of a width not >105 mm (excl. of 3702.31 & 3702.32)",370220
370241,1996,"Other film, without perforations, of a width exceeding     105 mm :-- Of a width exceeding 610 mm and of a length exceeding  200 m, for colour photography (polychrome)",370220
370241,2002,"Of a width exceeding 610 mm and of a length exceeding   200 m, for colour photography (polychrome)",370220
370241,2007,"Photographic film in rolls ( excl. film for X-ray),  without perforations, of a width exceeding 610mm&of a length exceeding 200 m, for colour photography (polychrome)",370220
370242,1996,"Other film, without perforations, of a width exceeding     105 mm :-- Of a width exceeding 610 mm and of a length exceeding 200 m, other than for colour photography",370220
370242,2002,"Of a width exceeding 610 mm and of a length exceeding   200 m, other than for colour photography",370220
370242,2007,"Photographic film in rolls ( excl. film for X-ray),  without perforations, of a width > 610mm&of a length > 200 m, other than for colour photography",370220
370243,1996,"Other film, without perforations, of a width exceeding     105 mm :-- Of a width exceeding 610 mm and of a length not exceeding 200 m",370220
370243,2002,Of a width exceeding 610 mm and of a length not exceeding 200 m,370220
370243,2007,"Photographic film in rolls ( excl. film for X-ray),  without perforations, of a width > 610mm&of a length not >200 m",370220
370244,1996,"Other film, without perforations, of a width exceeding     105 mm :-- Of a width exceeding 105 mm but not exceeding 610 mm",370220
370244,2002,Of a width exceeding 105 mm but not exceeding 610 mm,370220
370244,2007,"Photographic film in rolls ( excl. film for X-ray),  without perforations, of a width > 105 mm but          not > 610 mm.",370220
370292,1996,Other :-- Of a width not exceeding 16 mm and of a length exceeding     14 m,370291
370590,1996,Other,370520
370590,2002,Other,370520
370590,2007,"Photographic plates & film, exposed&developed, other than cinematographic film (excl. of 3705.10)",370520
380590,1996,Other,380520
380590,2002,Other,380520
380590,2007,Terpenic oils produced by the distillation/other treatment of coniferous woods; crude dipentene; sulphite turpentine&other crude para-cymene; pine oil containing alpha-terpineol as the main constituent.,380520
380820,1996,Fungicides,380810
380820,2002,Fungicides,380810
380830,1996,"Herbicides, anti-sprouting products and plant-growth regulators",380810
380830,2002,"Herbicides, antisprouting products and plantgrowth regulators",380810
380840,1996,Disinfectants,380810
380840,2002,Disinfectants,380810
380850,2007,Goods specified in Subheading Note 1 to this Ch.,380810
380890,1996,Other,380810
380890,2002,Other,380810
380891,2007,"Insecticides, put up in forms/packings for retail sale/as preparations/articles",380810
380892,2007,"Fungicides, put up in forms/packings for retail sale/as preparations/articles",380810
380893,2007,"Herbicides, anti-sprounting products&plant-growth regulators, put up in forms/packings for retail sale/as preparations/articles",380810
380894,2007,"Disinfectants, put up in forms/packings for retail sale/as preparations/articles",380810
380899,2007,"Rodenticides&other biocides, n.e.s.,put up in forms/packings for retail sale/as preparations/articles",380810
381710,1996,Mixed alkylbenzenes,381700
381720,1996,Mixed alkylnaphthalenes,381700
382420,1996,"Naphthenic acids, their water-insoluble salts and their esters",382100
382420,2002,"Naphthenic acids, their waterinsoluble salts and their esters",382100
382471,1996,Mixtures containing perhalogenated derivatives of acyclic hydrocarbons containing two or more different halogens :-- Containing acyclic hydrocarbons perhalogenated only with fluorine and chlorine,382100
382471,2002,Containing acyclic hydrocarbons perhalogenated only with fluorine and chlorine,382100
382471,2007,"Mixtures containing chlorofluorocarbons (CFCs), whether/not containing hydrochlorofluorocarbons (HCFCs), perfluorocarbons (PFCs)/hydrofluorocarbons (HFCs)",382100
382472,2007,"Mixtures containing bromochlorodifluoromethane, bromotrifluoromethane/dibromotetrafluoroethanes",382100
382473,2007,Mixtures containing hydrobromofluorocarbons (HBFCs),382100
382474,2007,"Mixtures containing hydrochlorofluorocarbons (HCFCs), whether/not containing perfluorocarbons (PFCs)/hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs)",382100
382475,2007,Mixtures containing carbon tetrachloride,382100
382476,2007,"Mixtures containing 1,1,1-trichloroethane (methyl chloroform)",382100
382477,2007,Mixtures containing bromomethane (methyl bromide)/bromochloromethane,382100
382478,2007,"Mixtures containing perfluorocarbons (PFCs)/hydrofluorocarbons (HFCs), but not containing chlorofluorocarbons (CFCs)/hydrochlorofluorocarbons (HCFCs)",382100
382479,1996,Mixtures containing perhalogenated derivatives of acyclic hydrocarbons containing two or more different halogens :-- Other,382100
382479,2002,Other,382100
382479,2007,"Mixtures containing halogenated derivatives of methane, ethane/propane (excl.of 3824.71 - 3824.78)",382100
382481,2007,Mixtures&preparations containing oxirane (ethylene oxide),382100
382482,2007,"Mixtures&preparations containing polychlorinated biphenyls (PCBs), polychlorinated terphenyls (PCTs)/polybrominated biphenyls (PBBs)",382100
382483,2007,"Mixtures&preparations containing tris(2,3-dibromopropyl) phosphate",382100
382510,2002,Municipal waste,382490
382510,2007,Municipal waste,382490
382520,2002,Sewage sludge,382490
382520,2007,Sewage sludge,382490
382530,2002,Clinical waste,382490
382530,2007,Clinical waste,382490
382541,2002,Halogenated,382490
382541,2007,Halogenated waste organic solvents,382490
382549,2002,Other,382490
382549,2007,Waste organic solvents other than halogenated waste organic solvents,382490
382550,2002,"Wastes of metal pickling liquors, hydraulic fluids, brake  fluids and antifreeze fluids",382490
382550,2007,"Wastes of metal pickling liquors, hydraulic fluids, brake fluids & anti-freeze fluids",382490
382561,2002,Mainly containing organic constituents,382490
382561,2007,"Wastes from chemical/allied industries, mainly containing organic constituents, n.e.s. in Ch.38",382490
382569,2002,Other,382490
382569,2007,"Wastes from chemical/allied industries, n.e.s. in Ch.38",382490
382590,2002,Other,382490
382590,2007,"Residual products of the chemical/allied industries, n.e.s. in Ch.38",382490
390770,2007,Poly(lactic acid),390799
392041,1996,Of polymers of vinyl chloride :-- Rigid,392049
392042,1996,Of polymers of vinyl chloride :-- Flexible,392049
392043,2002,Containing by weight not less than 6 % of plasticisers,392049
392043,2007,"Plates, sheets, film, foil&strip, of polymers of vinyl chloride,containing by weight not < 6% of plasticisers, non-cellular&not reinforcededed, laminated, supported/similarly combined with other materials(excl. self-adhesvie)",392049
392079,1996,Of cellulose or its chemical derivatives :-- Of other cellulose derivatives,392072
392079,2002,Of other cellulose derivatives,392072
392079,2007,"Plates, sheets, film, foil & strip, of cellulose derivatives, n.e.s. in 39.20, non-cellular & not reinforcededed/laminated/supported/similarly combined with other materials (excl. self-adhesive)",392072
392290,1996,Other,392210
392290,2002,Other,392210
392290,2007,"Bidets, lavatory pans, flushing cisterns & similar sanitary ware, of plastics",392210
400910,1996,"Not reinforced or otherwise combined with other materials, without fittings",400911
400920,1996,"Reinforced or otherwise combined only with metal, without fittings",400921
400930,1996,"Reinforced or otherwise combined only with textile materials, without fittings",400931
400940,1996,"Reinforced or otherwise combined with other materials, without fittings",400941
400912,2002,With fittings,400950
400912,2007,"Tubes, pipes & hoses, of vulcanised rubber other than hard rubber, not reinforcededed/othw. combined with other materials, with fittings (e.g., joints, elbows, flanges)",400950
400922,2002,With fittings,400950
400922,2007,"Tubes, pipes & hoses, of vulcanised rubber other than hard rubber, reinforcededed/othw. combined only with metal, with fittings (e.g., joints, elbows, flanges)",400950
400932,2002,With fittings,400950
400932,2007,"Tubes, pipes & hoses, of vulcanised rubber other than hard rubber, reinforcededed/othw. combined only with textile materials, with fittings (e.g., joints, elbows, flanges)",400950
400942,2002,With fittings,400950
400942,2007,"Tubes, pipes & hoses, of vulcanised rubber other than hard rubber, reinforcededed/othw. combined with other materials, with fittings (e.g., joints, elbows, flanges)",400950
401019,1996,Conveyor belts or belting :-- Other,401013
401019,2002,Other,401013
401019,2007,"Conveyor belts/belting (excl. of 4010.11-4010.13), of vulanised rubber",401013
401031,2002,"Endless transmission belts of trapezoidal crosssection     (V belts), Vribbed, of an outside circumference exceeding 60  cm but not exceeding 180 cm",401021
401031,2007,"Endless transmission belts of trapezoidal cross-section (V-belts), V-ribbed, of an outside circumference >60cm but not >180cm, of vulcanised rubber",401021
401032,2002,"Endless transmission belts of trapezoidal crosssection     (Vbelts), other than Vribbed, of an outside circumference exceeding 60 cm but not exceeding 180 cm",401021
401032,2007,"Endless transmission belts of trapezoidal cross-section (V-belts), other than V-ribbed, of an outside circumference >60cm but not >180cm, of vulcanised rubber",401021
401033,2002,"Endless transmission belts of trapezoidal crosssection     (V belts), Vribbed, of an outside circumference exceeding 180 cm but not exceeding 240 cm",401022
401033,2007,"Endless transmission belts of trapezoidal cross-section (V-belts), V-ribbed, of an outside circumference >180cm but not >240cm, of vulcanised rubber",401022
401034,2002,"Endless transmission belts of trapezoidal crosssection     (V belts), other than Vribbed, of an outside circumference exceeding 180 cm but not exceeding 240 cm",401022
401034,2007,"Endless transmission belts of trapezoidal cross-section (V-belts), other than V-ribbed, of an outside circumference >180cm but not >240cm, of vulcanised rubber",401022
401023,1996,"Transmission belts or belting :-- Endless synchronous belts, of a circumference exceeding 60 cm but not exceeding 150 cm",401035
401024,1996,"Transmission belts or belting :-- Endless synchronous belts, of a circumference exceeding 150 cm but not exceeding 198 cm",401036
401029,1996,Transmission belts or belting :-- Other,401039
401161,2002,Of a kind used on agricultural or forestry vehicles and machines,401191
401161,2007,"New pneumatic tyres, of rubber, having a herring-bone/similar tread, of a kind used on agricultural/forestry vehicles & machines",401191
401162,2002,Of a kind used on construction or industrial handling vehicles and machines and having a rim size not exceeding 61cm,401191
401162,2007,"New pneumatic tyres, of rubber, having a herring-bone/similar tread, of a kind used on construction/industrial handling vehicles & machines & having a rim size not >61cm",401191
401163,2002,Of a kind used on construction or industrial handling vehicles and machines and having a rim size exceeding 61 cm,401191
401163,2007,"New pneumatic tyres, of rubber, having a herring-bone/similar tread, of a kind used on construction/industrial handling vehicles & machines & having a rim size >61cm",401191
401169,2002,Other,401191
401169,2007,"New pneumatic tyres, of rubber, having a herring-bone/similar tread (excl. of 4011.61-4011.63)",401191
401192,2002,Of a kind used on agricultural or forestry vehicles and machines,401199
401192,2007,"New pneumatic tyres, of rubber (excl. those with herring-bone/similartread), of a kind used on agricultural/forestry vehicles & machines",401199
401193,2002,Of a kind used on construction or industrial handling vehicles and machines and having a rim size not exceeding 61 cm,401199
401193,2007,"New pneumatic tyres, of rubber (excl. those with herring-bone/similartread), of a kind used on construction/industrial handling vehicles & machines & having a rim size not >61cm",401199
401194,2002,Of a kind used on construction or industrial handling vehicles and machines and having a rim size exceeding 61cm,401199
401194,2007,"New pneumatic tyres, of rubber (excl. those with herring-bone/similartread), of a kind used on construction/industrial handling vehicles & machines & having a rim size >61cm",401199
401211,2002,Of a kind used on motor cars (including station wagons and  racing cars),401210
401211,2007,"Retreaded pneumatic tyres of rubber, of a kind used on motor cars (incl. station wagons & racing cars)",401210
401212,2002,Of a kind used on buses or lorries,401210
401212,2007,"Retreaded pneumatic tyres of rubber, of a kind used on buses/lorries",401210
401213,2002,Of a kind used on aircraft,401210
401213,2007,"Retreaded pneumatic tyres of rubber, of a kind used on aircraft",401210
401219,2002,Other,401210
401219,2007,Retreaded pneumatic tyres of rubber (excl. of 4012.11-4012.13),401210
410120,2002,"Whole hides and skins, of a weight per skin not exceeding 8 kg when simply dried, 10 kg when drysalted, or 16 kg when fresh, wetsalted or otherwise preserved",410110
410120,2007,"Whole bovine (incl. buffalo)/equine hides & skins, weight per skin not >8kg (simply dried)/10kg (dry-salted)/16kg (fresh/wet-salted/othw. preserved)",410110
410121,1996,"Other hides and skins of bovine animals, fresh or wet-salted :-- Whole",410110
410122,1996,"Other hides and skins of bovine animals, fresh or wet-salted :-- Butts and bends",410110
410129,1996,"Other hides and skins of bovine animals, fresh or wet-salted :-- Other",410110
410130,1996,"Other hides and skins of bovine animals, otherwise preserved",410110
410140,1996,Hides and skins of equine animals,410110
410150,2002,"Whole hides and skins, of a weight exceeding 16 kg",410110
410150,2007,"Whole bovine (incl. buffalo)/equine hides & skins, weight >16kg(fresh/salted/dried/limed/pickled/othw. preserved but not tanned/parchment-dressed/further prepared), whether/not dehaired/split",410110
410190,2002,"Other, including butts, bends and bellies",410110
410190,2007,"Raw hides & skins of bovine (including buffalo)/equine animals (fresh/salted/dried/limed/ pickled/othw. preserved, but not tanned/parchment-dressed/further prepared), whether/not dehaired/split(excl. of 4101.20&4101.50)",410110
410410,1996,"Whole bovine skin leather, of a unit surface area not exceeding 28 square feet (2.6 m2)",410110
410411,2002,"Full grains, unsplit; grain splits",410110
410411,2007,"Tanned/crust hides & skins of bovine (incl. buffalo)/equine animals, without hair on, in the wet state (incl. wet-blue), full grains, unsplit; grain splits but not further prepared",410110
410419,2002,Other,410110
410419,2007,"Tanned/crust hides & skins of bovine (incl. buffalo)/equine animals, without hair on, in the wet state (incl. wet-blue), whether/not split but not further prepared (excl. of 4104.11)",410110
410421,1996,"Other bovine leather and equine leather, tanned or retanned but not further prepared, whether or not split :-- Bovine leather, vegetable pre-tanned",410110
410422,1996,"Other bovine leather and equine leather, tanned or retanned but not further prepared, whether or not split :-- Bovine leather, otherwise pre-tanned",410110
410429,1996,"Other bovine leather and equine leather, tanned or retanned but not further prepared, whether or not split :-- Other",410110
410431,1996,"Other bovine leather and equine leather, parchment-dressed or prepared after tanning :-- Full grains and full grain splits",410110
410439,1996,"Other bovine leather and equine leather, parchment-dressed or prepared after tanning :-- Other",410110
410441,2002,"Full grains, unsplit; grain splits",410110
410441,2007,"Tanned/crust hides & skins of bovine (incl. buffalo)/equine animals, without hair on, in the dry state (crust), full grains, unsplit; grain splits but not further prepared",410110
410449,2002,Other,410110
410449,2007,"Tanned/crust hides & skins of bovine (incl. buffalo)/equine animals, without hair on, in the dry state (crust), whether/not split but not further prepared (excl. of 4104.41)",410110
410711,2002,"Full grains, unsplit",410110
410711,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of bovine (incl. buffalo)/equine animals, without hair on, whole hides & skins, full grains, unsplit",410110
410712,2002,Grain splits,410110
410712,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of bovine (incl. buffalo)/equine animals, without hair on, whole hides & skins, grain splits",410110
410719,2002,Other,410110
410719,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of bovine (incl. buffalo)/equine animals, without hair on, whole hides & skins, n.e.s. in 41.07",410110
410791,2002,"Full grains, unsplit",410110
410791,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of bovine (incl. buffalo)/equine animals, without hair on, other than whole hides&skins, full grains, unsplit",410110
410792,2002,Grain splits,410110
410792,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of bovine (incl. buffalo)/equine animals, without hair on, other than whole hides & skins, grain splits",410110
410799,2002,Other,410110
410799,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of bovine (incl. buffalo)/equine animals, without hair on, n.e.s. in 41.07, incl. sides",410110
410229,1996,Without wool on :-- Other,410221
410229,2002,Other,410221
410229,2007,"Raw skins of sheep/lambs (fresh/salted/dried/limed/pickled/othw. preserved, but not tanned/parchment-dressed/further prepared), split, other than those excld. by Note 1 (c) to this Ch..",410221
410510,2002,In the wet state (including wetblue),410221
410510,2007,"Tanned/crust skins of sheep/lambs, without wool on, in the wet state (incl. wet-blue), whether/not split but not further prepared",410221
410511,1996,"Tanned or retanned but not further prepared, whether or not split :-- Vegetable pre-tanned",410221
410512,1996,"Tanned or retanned but not further prepared, whether or not split :-- Otherwise pre-tanned",410221
410519,1996,"Tanned or retanned but not further prepared, whether or not split :-- Other",410221
410640,2002,Of reptiles,410320
410640,2007,"Tanned/crust hides & skins of reptiles, whether/not split but not further prepared",410320
410721,1996,Of reptiles :-- Vegetable pre-tanned,410320
410729,1996,Of reptiles :-- Other,410320
411330,2002,Of reptiles,410320
411330,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of reptiles, without wool/hair on, whether/not split, other than leather of 41.14",410320
410390,1996,Other,410330
410390,2002,Other,410330
410390,2007,"Raw hides&skins (fresh,/salted, dried, limed, pickled/othw. preserved, but not tanned, parchment-dressed/further prepared), whether/not dehaired/split, other than those excld. by Note 1 (b)/1 (c) to this Ch., n.e.s. in Ch 41",410330
410631,2002,In the wet state (including wetblue),410330
410631,2007,"Tanned/crust hides & skins of swine, without wool/hair on, in the wet state (incl. wet-blue) whether/not split but not further prepared",410330
410632,2002,In the dry state (crust),410330
410632,2007,"Tanned/crust hides & skins of swine, without wool/hair on, in the dry state (crust) whether/not split but not further prepared",410330
410710,1996,Of swine,410330
411320,2002,Of swine,410330
411320,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of swine, without wool/hair on, whether/not split, other than leather of 41.14",410330
410530,2002,In the dry state (crust),410520
410530,2007,"Tanned/crust skins of sheep/lambs, without wool on, in the dry state (crust), whether/not split but not further prepared",410520
411200,2002,"Leather further prepared after tanning or crusting, including parchmentdressed leather, of sheep or lamb, without wool on, whether or not split, other than leather of heading 41.14.",410520
411200,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of sheep/lamb, without wool on, whether/not split, other than leather of 41.14",410520
410622,2002,In the dry state (crust),410620
410622,2007,"Tanned/crust hides & skins of goats/kids, without wool/hair on, in the dry state (crust) whether/not split but not further prepared",410620
411310,2002,Of goats or kids,410620
411310,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of goats/kids, without wool/hair on, whether/not split, other than leather of 41.14",410620
410611,1996,"Tanned or retanned but not further prepared, whether or not split :-- Vegetable pre-tanned",410621
410612,1996,"Tanned or retanned but not further prepared, whether or not split :-- Otherwise pre-tanned",410621
410619,1996,"Tanned or retanned but not further prepared, whether or not split :-- Other",410621
410691,2002,In the wet state (including wetblue),410790
410691,2007,"Tanned/crust hides & skins, n.e.s., without wool/hair on, in the wet state (incl. wet-blue) whether/not split but not further prepared",410790
410692,2002,In the dry state (crust),410790
410692,2007,"Tanned/crust hides & skins, n.e.s., without wool/hair on, in the dry state (crust) whether/not split but not further prepared",410790
411390,2002,Other,410790
411390,2007,"Leather further prepared after tanning/crusting, incl. parchment-dressed leather, of animals n.e.s. in 41.13, without wool/hair on, whether/not split, other than leather of 41.14",410790
410800,1996,Chamois (including combination chamois) leather.,411410
410900,1996,Patent leather and patent laminated leather; metallised leather.,411420
411100,1996,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls.",411510
411000,1996,"Parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour.",411520
420500,1996,Other articles of leather or of composition leather.,420400
420500,2002,Other articles of leather or of composition leather.,420400
420500,2007,"Articles of leather/of composition leather, n.e.s. in Ch 42",420400
420610,1996,Catgut,420600
420610,2002,Catgut,420600
420690,1996,Other,420600
420690,2002,Other,420600
430120,1996,"Of rabbit or hare, whole, with or without head, tail or paws",430180
430140,1996,"Of beaver, whole, with or without head, tail or paws",430180
430150,1996,"Of musk-rat, whole, with or without head, tail or paws",430180
430212,1996,"Whole skins, with or without head, tail or paws, not assembled :-- Of rabbit or hare",430219
440210,2007,"Wood charcoal of bamboo(including shell/nut charcoal), whether/not agglomerated.",440200
440290,2007,"Wood charcoal (including shell/nut charcoal, excl. of 440210), whether/not agglomerated.",440200
440399,1996,Other,440349
440399,2002,Other,440349
440399,2007,"Wood, in the rough (excl. of 4403.10-4403.92), whether/not stripped of bark/sapwood/roughly squared",440349
440721,2007,"Wood sawn/chipped lengthwise, sliced/peeled, whether/not planed, sanded/end-jointed, of a thickness >6mm, of Mahogany (Swietenia spp.)",440724
440722,2007,"Wood sawn/chipped lengthwise, sliced/peeled, whether/not planed, sanded/end-jointed, of a thickness >6mm, of Virola, Imbuia&Balsa",440724
440793,2007,"Maple (Acer spp.), sawn/chipped lengthwise, sliced/peeled, whether/not planed, sanded/end-jointed, of a thickness >6mm",440799
440794,2007,"Cherry (Prunus spp.), sawn/chipped lengthwise, sliced/peeled, whether/not planed, sanded/end-jointed, of a thickness >6mm",440799
440795,2007,"Ash(Fraxinus spp.), sawn/chipped lengthwise, sliced/peeled, whether/not planed, sanded/end-jointed, of a thickness >6mm",440799
440831,1996,"Of tropical wood specified in Subheading Note 1 to this Chapter :-- Dark Red Meranti, Light Red Meranti and Meranti Bakau",440810
440831,2002,"Dark Red Meranti, Light Red Meranti and Meranti Bakau",440810
440831,2007,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood/for similar laminated wood & other wood, sawn lengthwise, sliced/peeled, whether/not planed, sanded, spliced/end-jointed, of a thickness not> 6 mm, of Dark R",440810
440839,1996,Of tropical wood specified in Subheading Note 1 to this Chapter :-- Other,440810
440839,2002,Other,440810
440839,2007,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood/for similar laminated wood & other wood, sawn lengthwise, sliced/peeled, whether/not planed, sanded, spliced/end-jointed, of a thickness not> 6 mm, of  tropi",440810
440890,1996,Other,440810
440890,2002,Other,440810
440890,2007,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood/for similar laminated wood & other wood, sawn lengthwise, sliced/peeled, whether/not planed, sanded, spliced/end-jointed, of a thickness not> 6 mm (excl. of",440810
441213,1996,"Plywood consisting solely of sheets of wood, each ply not exceeding 6 mm thickness :-- With at least one outer ply of tropical wood specified in Subheading Note 1 to this Chapter",440810
441213,2002,With at least one outer ply of tropical wood specified in Subheading Note 1 to this Chapter,440810
441219,1996,"Plywood consisting solely of sheets of wood, each ply not exceeding 6 mm thickness :-- Other",440810
441219,2002,Other,440810
441222,1996,"Other, with at least one outer ply of non-coniferous wood :-- With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter",440810
441222,2002,With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,440810
441292,1996,Other :-- With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,440810
441292,2002,With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,440810
441293,1996,"Other, containing at least one layer of particle board",440810
441293,2002,"Other, containing at least one layer of particle board",440810
440921,2007,"Wood (including strips&friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded/the like) along any of its edges, ends/faces, whether/not planed/sanded/end-joint",440920
440929,2007,"Wood (including strips&friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, moulded, rounded/the like) along any of its edges, ends/faces, whether/not planed/sanded/end-joint",440920
441112,2007,"Medium density of fibreboard of wood/other ligneous materials, whether/not bonded with resins/other organic substances, of a thkns not >5mm",441111
441113,2007,"Medium density of fibreboard of wood/other ligneous materials, whether/not bonded with resins/other organic substances, of a thkns >5mm       but not >9mm",441111
441114,2007,"Medium density of fibreboard of wood/other ligneous materials, whether/not bonded with resins/other organic substances, of a thkns >9mm",441111
441119,1996,Fibreboard of a density exceeding 0.8 g/cm3 :-- Other,441111
441119,2002,Other,441111
441121,1996,Fibreboard of a density exceeding 0.5 g/cm3 but not exceeding 0.8 g/cm3 :-- Not mechanically worked or surface covered,441111
441121,2002,Not mechanically worked or surface covered,441111
441129,1996,Fibreboard of a density exceeding 0.5 g/cm3 but not exceeding 0.8 g/cm3 :-- Other,441111
441129,2002,Other,441111
441131,1996,Fibreboard of a density exceeding 0.35 g/cm3 but not exceeding 0.5 g/cm3 :-- Not mechanically worked or surface covered,441111
441131,2002,Not mechanically worked or surface covered,441111
